Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::_local_scalar_dense,,,47.09,47.09,0,0,0,0
aten::select,,,3.92,6.51,0,0,0,0
aten::as_strided,,,2.59,2.59,0,0,0,0
aten::item,,,0.96,22.96,0,0,0,0
aten::_local_scalar_dense,,,22.0,22.0,0,0,0,0
aten::select,,,2.43,4.01,0,0,0,0
aten::as_strided,,,1.58,1.58,0,0,0,0
aten::alias,,,2.68,2.68,0,0,0,0
aten::unsqueeze,,,2.15,2.98,0,0,0,0
aten::as_strided,,,0.83,0.83,0,0,0,0
aten::select,,,1.81,2.55,0,0,0,0
aten::as_strided,,,0.74,0.74,0,0,0,0
aten::item,,,0.76,20.21,0,0,0,0
aten::_local_scalar_dense,,,19.45,19.45,0,0,0,0
aten::select,,,2.24,3.3,0,0,0,0
aten::as_strided,,,1.06,1.06,0,0,0,0
aten::alias,,,1.53,1.53,0,0,0,0
aten::to,,,1.83,136.32,0,5.5,0,0
npu::_npu_dtype_cast,,,57.82,134.49,0,5.5,0,0
empty_tensor,,,5.26,5.26,0,0,0,0
aclnnCast,,,71.41,71.41,5.5,5.5,0,0
aten::cat,,,50.62,110.03,0,16.182000000000002,0,0
empty_tensor,,,4.43,4.43,0,0,0,0
aclnnCat,,,54.98,54.98,16.182000000000002,16.182000000000002,0,0
aten::unsqueeze,,,4.63,7.05,0,0,0,0
aten::as_strided,,,2.42,2.42,0,0,0,0
aten::conv1d,,,3.53,156.71,0,102.49,0,6.24
aten::unsqueeze,,,0.69,1.54,0,0,0,0
aten::as_strided,,,0.85,0.85,0,0,0,0
aten::convolution,,,3.32,150.34,0,102.49,0,6.24
aten::_convolution,,,44.73,147.02,0,102.49,0,6.24
aten::unsqueeze,,,0.78,1.75,0,0,0,0
aten::as_strided,,,0.97,0.97,0,0,0,0
aten::unsqueeze,,,1.25,2.75,0,0,0,0
aten::as_strided,,,1.5,1.5,0,0,0,0
empty_tensor,,,3.83,3.83,0,0,0,0
format_contiguousV2,,,0.92,0.92,0,0,0,0
Conv2D,,,89.42,89.42,102.49,102.49,6.24,6.24
aten::squeeze,,,1.94,3.62,0,0,0,0
aten::as_strided,,,1.68,1.68,0,0,0,0
aten::squeeze,,,0.74,1.3,0,0,0,0
aten::as_strided,,,0.56,0.56,0,0,0,0
aten::alias,,,2.53,2.53,0,0,0,0
aten::pad,,,1.7,40.5,0,9.522,0,0
aten::constant_pad_nd,,,12.13,38.8,0,9.522,0,0
empty_tensor,,,5.28,5.28,0,0,0,0
aclnnConstantPadNd,,,21.39,21.39,9.522,9.522,0,0
aten::to,,,1.78,22.38,0,1.46,0,0
npu::_npu_dtype_cast,,,5.0,20.6,0,1.46,0,0
empty_tensor,,,3.47,3.47,0,0,0,0
aclnnCast,,,12.13,12.13,1.46,1.46,0,0
aten::copy_,,,58.3,137.06,0,14.9,0,0
aclnnInplaceCopy,,,78.76,78.76,14.9,14.9,0,0
aten::silu,,,6.74,24.67,0,1.24,0,0
empty_tensor,,,4.3,4.3,0,0,0,0
aclnnSilu,,,13.63,13.63,1.24,1.24,0,0
aten::to,,,1.54,20.07,0,1.36,0,0
npu::_npu_dtype_cast,,,4.22,18.53,0,1.36,0,0
empty_tensor,,,3.79,3.79,0,0,0,0
aclnnCast,,,10.52,10.52,1.36,1.36,0,0
aten::select,,,5.77,7.74,0,0,0,0
aten::as_strided,,,1.97,1.97,0,0,0,0
aten::eq,,,5.93,22.38,0,1.76,0,0
empty_tensor,,,2.82,2.82,0,0,0,0
aclnnEqScalar,,,13.63,13.63,1.76,1.76,0,0
aten::is_nonzero,,,1.36,50.15,0,0,0,0
aten::item,,,1.97,48.79,0,0,0,0
aten::_local_scalar_dense,,,46.82,46.82,0,0,0,0
aten::select,,,3.93,6.04,0,0,0,0
aten::as_strided,,,2.11,2.11,0,0,0,0
aten::item,,,1.06,55.01,0,0,0,0
aten::_local_scalar_dense,,,53.95,53.95,0,0,0,0
aten::select,,,2.67,4.06,0,0,0,0
aten::as_strided,,,1.39,1.39,0,0,0,0
aten::alias,,,3.28,3.28,0,0,0,0
aten::unsqueeze,,,2.16,2.99,0,0,0,0
aten::as_strided,,,0.83,0.83,0,0,0,0
aten::select,,,1.23,1.99,0,0,0,0
aten::as_strided,,,0.76,0.76,0,0,0,0
aten::item,,,0.83,23.14,0,0,0,0
aten::_local_scalar_dense,,,22.31,22.31,0,0,0,0
aten::select,,,2.17,3.85,0,0,0,0
aten::as_strided,,,1.68,1.68,0,0,0,0
aten::alias,,,1.34,1.34,0,0,0,0
aten::to,,,1.89,136.73,0,5.38,0,0
npu::_npu_dtype_cast,,,57.7,134.84,0,5.38,0,0
empty_tensor,,,5.39,5.39,0,0,0,0
aclnnCast,,,71.75,71.75,5.38,5.38,0,0
aten::cat,,,50.5,108.08,0,15.042,0,0
empty_tensor,,,4.55,4.55,0,0,0,0
aclnnCat,,,53.03,53.03,15.042,15.042,0,0
aten::unsqueeze,,,4.68,6.78,0,0,0,0
aten::as_strided,,,2.1,2.1,0,0,0,0
aten::conv1d,,,2.53,153.23,0,101.71,0,6.52
aten::unsqueeze,,,0.78,1.71,0,0,0,0
aten::as_strided,,,0.93,0.93,0,0,0,0
aten::convolution,,,3.04,147.8,0,101.71,0,6.52
aten::_convolution,,,44.87,144.76,0,101.71,0,6.52
aten::unsqueeze,,,1.25,2.28,0,0,0,0
aten::as_strided,,,1.03,1.03,0,0,0,0
aten::unsqueeze,,,1.17,2.12,0,0,0,0
aten::as_strided,,,0.95,0.95,0,0,0,0
empty_tensor,,,3.52,3.52,0,0,0,0
format_contiguousV2,,,0.97,0.97,0,0,0,0
Conv2D,,,87.14,87.14,101.71,101.71,6.52,6.52
aten::squeeze,,,2.09,3.86,0,0,0,0
aten::as_strided,,,1.77,1.77,0,0,0,0
aten::squeeze,,,0.69,1.19,0,0,0,0
aten::as_strided,,,0.5,0.5,0,0,0,0
aten::alias,,,1.91,1.91,0,0,0,0
aten::pad,,,1.75,41.63,0,9.66,0,0
aten::constant_pad_nd,,,12.14,39.88,0,9.66,0,0
empty_tensor,,,5.81,5.81,0,0,0,0
aclnnConstantPadNd,,,21.93,21.93,9.66,9.66,0,0
aten::to,,,2.01,22.5,0,1.4,0,0
npu::_npu_dtype_cast,,,5.29,20.49,0,1.4,0,0
empty_tensor,,,3.45,3.45,0,0,0,0
aclnnCast,,,11.75,11.75,1.4,1.4,0,0
aten::copy_,,,55.87,134.81,0,14.483999999999998,0,0
aclnnInplaceCopy,,,78.94,78.94,14.483999999999998,14.483999999999998,0,0
aten::silu,,,6.88,24.48,0,1.34,0,0
empty_tensor,,,4.15,4.15,0,0,0,0
aclnnSilu,,,13.45,13.45,1.34,1.34,0,0
aten::to,,,1.63,20.07,0,1.26,0,0
npu::_npu_dtype_cast,,,4.45,18.44,0,1.26,0,0
empty_tensor,,,3.2,3.2,0,0,0,0
aclnnCast,,,10.79,10.79,1.26,1.26,0,0
aten::select,,,5.81,7.75,0,0,0,0
aten::as_strided,,,1.94,1.94,0,0,0,0
aten::eq,,,5.72,21.3,0,1.48,0,0
empty_tensor,,,2.64,2.64,0,0,0,0
aclnnEqScalar,,,12.94,12.94,1.48,1.48,0,0
aten::is_nonzero,,,1.4,51.08,0,0,0,0
aten::item,,,1.63,49.68,0,0,0,0
aten::_local_scalar_dense,,,48.05,48.05,0,0,0,0
aten::select,,,4.29,6.36,0,0,0,0
aten::as_strided,,,2.07,2.07,0,0,0,0
aten::item,,,1.16,23.02,0,0,0,0
aten::_local_scalar_dense,,,21.86,21.86,0,0,0,0
aten::select,,,2.68,4.15,0,0,0,0
aten::as_strided,,,1.47,1.47,0,0,0,0
aten::alias,,,2.76,2.76,0,0,0,0
aten::unsqueeze,,,2.23,3.21,0,0,0,0
aten::as_strided,,,0.98,0.98,0,0,0,0
aten::select,,,1.36,2.22,0,0,0,0
aten::as_strided,,,0.86,0.86,0,0,0,0
aten::item,,,0.96,20.98,0,0,0,0
aten::_local_scalar_dense,,,20.02,20.02,0,0,0,0
aten::select,,,2.33,3.53,0,0,0,0
aten::as_strided,,,1.2,1.2,0,0,0,0
aten::alias,,,1.62,1.62,0,0,0,0
aten::to,,,2.28,142.65,0,22.502000000000002,0,0
npu::_npu_dtype_cast,,,59.07,140.37,0,22.502000000000002,0,0
empty_tensor,,,8.44,8.44,0,0,0,0
aclnnCast,,,72.86,72.86,22.502000000000002,22.502000000000002,0,0
aten::cat,,,51.58,114.1,0,36.861999999999995,0,0
empty_tensor,,,5.62,5.62,0,0,0,0
aclnnCat,,,56.9,56.9,36.861999999999995,36.861999999999995,0,0
aten::unsqueeze,,,4.84,6.86,0,0,0,0
aten::as_strided,,,2.02,2.02,0,0,0,0
aten::conv1d,,,2.93,154.5,0,139.794,0,28.284
aten::unsqueeze,,,0.85,1.85,0,0,0,0
aten::as_strided,,,1.0,1.0,0,0,0,0
aten::convolution,,,3.3,148.11,0,139.794,0,28.284
aten::_convolution,,,43.11,144.81,0,139.794,0,28.284
aten::unsqueeze,,,0.87,2.01,0,0,0,0
aten::as_strided,,,1.14,1.14,0,0,0,0
aten::unsqueeze,,,1.41,2.4,0,0,0,0
aten::as_strided,,,0.99,0.99,0,0,0,0
empty_tensor,,,4.76,4.76,0,0,0,0
format_contiguousV2,,,1.08,1.08,0,0,0,0
Conv2D,,,87.35,87.35,139.794,139.794,28.284,28.284
aten::squeeze,,,2.24,4.1,0,0,0,0
aten::as_strided,,,1.86,1.86,0,0,0,0
aten::squeeze,,,0.89,1.61,0,0,0,0
aten::as_strided,,,0.72,0.72,0,0,0,0
aten::alias,,,2.0,2.0,0,0,0,0
aten::pad,,,2.03,40.09,0,13.562,0,0
aten::constant_pad_nd,,,11.1,38.06,0,13.562,0,0
empty_tensor,,,5.75,5.75,0,0,0,0
aclnnConstantPadNd,,,21.21,21.21,13.562,13.562,0,0
aten::to,,,2.48,23.79,0,1.52,0,0
npu::_npu_dtype_cast,,,5.63,21.31,0,1.52,0,0
empty_tensor,,,4.05,4.05,0,0,0,0
aclnnCast,,,11.63,11.63,1.52,1.52,0,0
aten::copy_,,,55.47,133.52,0,15.202,0,0
aclnnInplaceCopy,,,78.05,78.05,15.202,15.202,0,0
aten::silu,,,6.91,27.02,0,14.262,0,0
empty_tensor,,,6.57,6.57,0,0,0,0
aclnnSilu,,,13.54,13.54,14.262,14.262,0,0
aten::to,,,1.46,21.44,0,10.0,0,0
npu::_npu_dtype_cast,,,4.44,19.98,0,10.0,0,0
empty_tensor,,,4.52,4.52,0,0,0,0
aclnnCast,,,11.02,11.02,10.0,10.0,0,0
aten::cat,,,36.36,82.41,0,34.842,0,0
empty_tensor,,,3.32,3.32,0,0,0,0
aclnnCat,,,42.73,42.73,34.842,34.842,0,0
aten::cat,,,21.95,50.36,0,9.64,0,0
empty_tensor,,,4.33,4.33,0,0,0,0
aclnnCat,,,24.08,24.08,9.64,9.64,0,0
aten::transpose,,,3.31,5.91,0,0,0,0
aten::as_strided,,,2.6,2.6,0,0,0,0
aten::reshape,,,4.28,8.45,0,0,0,0
aten::_reshape_alias,,,1.6,4.17,0,0,0,0
aten::view,,,2.57,2.57,0,0,0,0
aten::reshape,,,1.16,2.95,0,0,0,0
aten::_reshape_alias,,,0.69,1.79,0,0,0,0
aten::view,,,1.1,1.1,0,0,0,0
aten::reshape,,,1.09,3.12,0,0,0,0
aten::_reshape_alias,,,0.81,2.03,0,0,0,0
aten::view,,,1.22,1.22,0,0,0,0
aten::reshape,,,0.98,2.58,0,0,0,0
aten::_reshape_alias,,,0.67,1.6,0,0,0,0
aten::view,,,0.93,0.93,0,0,0,0
aten::reshape,,,1.2,2.98,0,0,0,0
aten::_reshape_alias,,,0.73,1.78,0,0,0,0
aten::view,,,1.05,1.05,0,0,0,0
aten::reshape,,,0.93,2.48,0,0,0,0
aten::_reshape_alias,,,0.62,1.55,0,0,0,0
aten::view,,,0.93,0.93,0,0,0,0
aten::bitwise_not,,,7.46,34.85,0,1.52,0,0
empty_tensor,,,3.64,3.64,0,0,0,0
aclnnBitwiseNot,,,23.75,23.75,1.52,1.52,0,0
aten::index,,,81.59,242.06,0,23.979999999999997,0,0
empty_tensor,,,2.41,2.41,0,0,0,0
aclnnNonzeroV2,,,112.0,112.0,15.44,15.44,0,0
aten::resize_,,,2.24,2.24,0,0,0,0
aten::select,,,3.5,5.51,0,0,0,0
aten::as_strided,,,2.01,2.01,0,0,0,0
empty_tensor,,,3.02,3.02,0,0,0,0
empty_tensor,,,2.45,2.45,0,0,0,0
aclnnIndex,,,32.84,32.84,8.54,8.54,0,0
aten::scalar_tensor,,,4.02,30.75,0,1.32,0,0
aten::empty,,,1.67,4.72,0,0,0,0
empty_tensor,,,3.05,3.05,0,0,0,0
aten::fill_,,,6.14,22.01,0,1.32,0,0
aclnnInplaceFillScalar,,,15.87,15.87,1.32,1.32,0,0
aten::index_put_,,,3.64,147.74,0,28.364,0,0
aten::_index_put_impl_,,,54.75,144.1,0,28.364,0,0
empty_tensor,,,1.85,1.85,0,0,0,0
aten::as_strided,,,1.47,1.47,0,0,0,0
aten::reshape,,,0.88,2.49,0,0,0,0
aten::view,,,1.61,1.61,0,0,0,0
aten::to,,,1.74,21.97,0,1.24,0,0
npu::_npu_dtype_cast,,,5.3,20.23,0,1.24,0,0
empty_tensor,,,2.86,2.86,0,0,0,0
aclnnCast,,,12.07,12.07,1.24,1.24,0,0
aclnnIndexPutImpl,,,61.57,61.57,27.124000000000002,27.124000000000002,0,0
aten::index,,,10.53,36.21,0,48.924,0,0
empty_tensor,,,2.45,2.45,0,0,0,0
empty_tensor,,,5.37,5.37,0,0,0,0
aclnnIndex,,,17.86,17.86,48.924,48.924,0,0
aten::contiguous,,,1.75,76.46,0,37.162,0,0
aten::clone,,,2.71,74.71,0,37.162,0,0
empty_tensor,,,4.51,4.51,0,0,0,0
aten::copy_,,,40.8,67.49,0,37.162,0,0
aclnnInplaceCopy,,,26.69,26.69,37.162,37.162,0,0
aten::view,,,2.16,2.16,0,0,0,0
aten::empty_like,,,3.66,8.06,0,0,0,0
empty_tensor,,,4.4,4.4,0,0,0,0
l2norm_fwd_kernel2,,,22.71,22.71,48.124,48.124,0,0
aten::view,,,3.22,3.22,0,0,0,0
aten::contiguous,,,1.7,109.73,0,34.244,0,0
aten::clone,,,3.51,108.03,0,34.244,0,0
empty_tensor,,,4.87,4.87,0,0,0,0
aten::copy_,,,57.94,99.65,0,34.244,0,0
aclnnInplaceCopy,,,41.71,41.71,34.244,34.244,0,0
aten::view,,,2.0,2.0,0,0,0,0
aten::empty_like,,,4.54,9.87,0,0,0,0
empty_tensor,,,5.33,5.33,0,0,0,0
l2norm_fwd_kernel2,,,17.35,17.35,39.864,39.864,0,0
aten::view,,,3.84,3.84,0,0,0,0
aten::contiguous,,,1.57,97.79,0,33.884,0,0
aten::clone,,,3.25,96.22,0,33.884,0,0
empty_tensor,,,4.74,4.74,0,0,0,0
aten::copy_,,,53.82,88.23,0,33.884,0,0
aclnnInplaceCopy,,,34.41,34.41,33.884,33.884,0,0
aten::empty_like,,,4.29,31.47,0,0,0,0
empty_tensor,,,27.18,27.18,0,0,0,0
chunk_local_cumsum_vector_kernel,,,24.1,24.1,191.878,191.878,0,0
aten::zeros,,,4.44,110.43,0,9.782,0,0
empty_tensor,,,7.31,7.31,0,0,0,0
aten::zero_,,,38.24,98.68,0,9.782,0,0
aclnnInplaceZero,,,60.44,60.44,9.782,9.782,0,0
aten::zeros,,,3.66,65.08,0,4.58,0,0
empty_tensor,,,8.0,8.0,0,0,0,0
aten::zero_,,,19.54,53.42,0,4.58,0,0
aclnnInplaceZero,,,33.88,33.88,4.58,4.58,0,0
aten::empty,,,2.52,11.24,0,0,0,0
empty_tensor,,,8.72,8.72,0,0,0,0
unk_kda_scaled_dot_kkt_fwd_kernel_intra_sub_inter,,,22.38,22.38,821.342,821.342,0,0
aten::empty,,,2.04,9.49,0,0,0,0
empty_tensor,,,7.45,7.45,0,0,0,0
unk_kda_scaled_dot_kkt_fwd_kernel_intra_sub_intra,,,20.24,20.24,821.28,821.28,0,0
aten::zeros_like,,,46.03,107.51,0,10.922,0,0
empty_tensor,,,6.72,6.72,0,0,0,0
aclnnInplaceZero,,,54.76,54.76,10.922,10.922,0,0
aten::empty,,,2.33,11.75,0,0,0,0
empty_tensor,,,9.42,9.42,0,0,0,0
merge_16x16_to_64x64_inverse_kernel,,,21.58,21.58,579.038,579.038,0,0
aten::empty_like,,,4.88,9.77,0,0,0,0
empty_tensor,,,4.89,4.89,0,0,0,0
aten::empty_like,,,1.32,3.9,0,0,0,0
empty_tensor,,,2.58,2.58,0,0,0,0
aten::empty_like,,,1.04,3.78,0,0,0,0
empty_tensor,,,2.74,2.74,0,0,0,0
aten::empty,,,1.98,7.93,0,0,0,0
empty_tensor,,,5.95,5.95,0,0,0,0
recompute_w_u_fwd_kernel,,,21.46,21.46,456.626,456.626,0,0
aten::new_empty,,,1.41,7.39,0,0,0,0
aten::empty,,,1.4,5.98,0,0,0,0
empty_tensor,,,4.58,4.58,0,0,0,0
aten::new_empty,,,0.48,4.29,0,0,0,0
aten::empty,,,0.68,3.81,0,0,0,0
empty_tensor,,,3.13,3.13,0,0,0,0
aten::empty_like,,,2.71,7.75,0,0,0,0
empty_tensor,,,5.04,5.04,0,0,0,0
aten::empty,,,1.46,8.13,0,0,0,0
empty_tensor,,,6.67,6.67,0,0,0,0
chunk_gated_delta_rule_fwd_kernel_h_blockdim64,,,21.37,21.37,538.034,538.034,0,0
aten::empty,,,1.97,7.9,0,0,0,0
empty_tensor,,,5.93,5.93,0,0,0,0
chunk_gla_fwd_kernel_o,,,19.27,19.27,66.188,66.188,0,0
aten::index_put_,,,4.56,148.81,0,64.04599999999999,0,0
aten::_index_put_impl_,,,57.2,144.25,0,64.04599999999999,0,0
empty_tensor,,,2.18,2.18,0,0,0,0
aten::as_strided,,,2.54,2.54,0,0,0,0
aten::reshape,,,0.99,2.89,0,0,0,0
aten::view,,,1.9,1.9,0,0,0,0
aten::to,,,1.76,40.64,0,1.2,0,0
npu::_npu_dtype_cast,,,11.58,38.88,0,1.2,0,0
empty_tensor,,,3.89,3.89,0,0,0,0
aclnnCast,,,23.41,23.41,1.2,1.2,0,0
aclnnIndexPutImpl,,,38.8,38.8,62.846,62.846,0,0
aten::select,,,3.36,5.51,0,0,0,0
aten::as_strided,,,2.15,2.15,0,0,0,0
aten::select,,,0.93,1.68,0,0,0,0
aten::as_strided,,,0.75,0.75,0,0,0,0
aten::copy_,,,23.91,51.93,0,9.822,0,0
aclnnInplaceCopy,,,28.02,28.02,9.822,9.822,0,0
npu::_npu_dtype_cast,,,28.12,88.9,0,16.9,0,0
empty_tensor,,,6.9,6.9,0,0,0,0
aclnnCast,,,53.88,53.88,16.9,16.9,0,0
aten::pow,,,45.44,81.95,0,20.562,0,0
aten::result_type,,,1.23,1.23,0,0,0,0
empty_tensor,,,4.87,4.87,0,0,0,0
aclnnPowTensorScalar,,,30.41,30.41,20.562,20.562,0,0
aten::mean,,,52.25,95.13,0,20.362,0,0
empty_tensor,,,4.52,4.52,0,0,0,0
aclnnMean,,,38.36,38.36,20.362,20.362,0,0
aten::add,,,33.56,85.83,0,5.22,0,0
empty_tensor,,,3.48,3.48,0,0,0,0
aten::item,,,1.35,2.53,0,0,0,0
aten::_local_scalar_dense,,,1.18,1.18,0,0,0,0
aclnnAdds,,,46.26,46.26,5.22,5.22,0,0
aten::rsqrt,,,23.62,66.69,0,5.682,0,0
empty_tensor,,,4.86,4.86,0,0,0,0
aclnnRsqrt,,,38.21,38.21,5.682,5.682,0,0
aten::mul,,,26.76,72.96,0,25.642,0,0
empty_tensor,,,5.18,5.18,0,0,0,0
aclnnMul,,,41.02,41.02,25.642,25.642,0,0
npu::_npu_dtype_cast,,,8.04,27.46,0,1.44,0,0
empty_tensor,,,4.08,4.08,0,0,0,0
aclnnCast,,,15.34,15.34,1.44,1.44,0,0
aten::mul,,,27.24,68.84,0,14.662,0,0
empty_tensor,,,3.83,3.83,0,0,0,0
aclnnMul,,,37.77,37.77,14.662,14.662,0,0
npu::_npu_dtype_cast,,,23.18,62.84,0,18.842,0,0
empty_tensor,,,4.36,4.36,0,0,0,0
aclnnCast,,,35.3,35.3,18.842,18.842,0,0
aten::sigmoid,,,20.96,58.19,0,17.862,0,0
empty_tensor,,,4.3,4.3,0,0,0,0
aclnnSigmoid,,,32.93,32.93,17.862,17.862,0,0
aten::mul,,,24.48,64.85,0,16.442,0,0
empty_tensor,,,4.21,4.21,0,0,0,0
aclnnMul,,,36.16,36.16,16.442,16.442,0,0
npu::_npu_dtype_cast,,,22.78,58.95,0,9.72,0,0
empty_tensor,,,4.29,4.29,0,0,0,0
aclnnCast,,,31.88,31.88,9.72,9.72,0,0
aten::reshape,,,3.13,7.57,0,0,0,0
aten::view,,,4.44,4.44,0,0,0,0
aten::reshape,,,0.88,2.0,0,0,0,0
aten::view,,,1.12,1.12,0,0,0,0
vllm::unquantized_gemm,,,15.01,229.14,0,88.608,0,88.608
aten::linear,,,3.48,214.13,0,88.608,0,88.608
aten::t,,,3.54,8.87,0,0,0,0
aten::transpose,,,2.34,5.33,0,0,0,0
aten::as_strided,,,2.99,2.99,0,0,0,0
aten::matmul,,,146.59,201.78,0,88.608,0,88.608
empty_tensor,,,5.06,5.06,0,0,0,0
aclnnMatmul,,,50.13,50.13,88.608,88.608,88.608,88.608
vllm::all_reduce,,,55.0,319.08,0,444.506,0,0
c10d::allreduce_,,,34.84,254.43,0,444.506,0,0
record_event,,,14.49,14.49,0.02,0.02,0,0
wait_event,,,7.95,7.95,0,0,0,0
HcclAllreduce,,,3.04,182.4,0,444.446,0,0
HcclAllreduce,,,179.36,179.36,444.446,444.446,0,0
record_event,,,8.76,8.76,0.02,0.02,0,0
record_event,,,5.99,5.99,0.02,0.02,0,0
wait_event,,,7.35,7.35,0,0,0,0
destroy_event,,,2.3,2.3,0,0,0,0
vllm::maybe_chunk_residual,,,9.78,9.78,0,0,0,0
_C_ascend::npu_add_rms_norm_bias,,,26.69,75.71,0,108.07,0,0
aten::empty,,,2.15,12.0,0,0,0,0
empty_tensor,,,9.85,9.85,0,0,0,0
aten::empty,,,0.66,5.06,0,0,0,0
empty_tensor,,,4.4,4.4,0,0,0,0
aten::empty,,,0.56,2.44,0,0,0,0
empty_tensor,,,1.88,1.88,0,0,0,0
aten::empty,,,1.05,4.2,0,0,0,0
empty_tensor,,,3.15,3.15,0,0,0,0
aclnnAddRmsNormBias,,,25.32,25.32,108.07,108.07,0,0
aten::reshape,,,3.13,5.82,0,0,0,0
aten::view,,,2.69,2.69,0,0,0,0
npu::_npu_dtype_cast,,,38.09,95.44,0,17.602,0,0
empty_tensor,,,3.71,3.71,0,0,0,0
aclnnCast,,,53.64,53.64,17.602,17.602,0,0
aten::t,,,5.14,10.79,0,0,0,0
aten::transpose,,,2.45,5.65,0,0,0,0
aten::as_strided,,,3.2,3.2,0,0,0,0
aten::mm,,,54.06,108.85,0,134.272,0,134.272
empty_tensor,,,5.44,5.44,0,0,0,0
aclnnMm,,,49.35,49.35,134.272,134.272,134.272,134.272
npu::_npu_dtype_cast,,,25.91,70.15,0,4.222,0,0
empty_tensor,,,6.21,6.21,0,0,0,0
aclnnCast,,,38.03,38.03,4.222,4.222,0,0
aten::alias,,,3.09,3.09,0,0,0,0
vllm::moe_forward_shared,,,1446.85,5827.72,0,9665.832000000011,0,96.75
aten::add,,,11.09,26.02,0,0,0,0
aten::to,,,1.77,14.93,0,0,0,0
aten::_to_copy,,,3.5,13.16,0,0,0,0
aten::empty_strided,,,2.1,2.1,0,0,0,0
aten::copy_,,,7.56,7.56,0,0,0,0
aten::sub,,,3.93,7.95,0,0,0,0
aten::to,,,0.58,4.02,0,0,0,0
aten::_to_copy,,,1.16,3.44,0,0,0,0
aten::empty_strided,,,0.76,0.76,0,0,0,0
aten::copy_,,,1.52,1.52,0,0,0,0
aten::floor_divide,,,4.82,10.16,0,0,0,0
aten::to,,,0.56,4.09,0,0,0,0
aten::_to_copy,,,1.14,3.53,0,0,0,0
aten::empty_strided,,,0.9,0.9,0,0,0,0
aten::copy_,,,1.49,1.49,0,0,0,0
aten::empty,,,1.25,1.25,0,0,0,0
aten::repeat_interleave,,,4.39,19.35,0,0,0,0
aten::flatten,,,0.63,0.63,0,0,0,0
aten::unsqueeze,,,1.8,3.31,0,0,0,0
aten::as_strided,,,1.51,1.51,0,0,0,0
aten::expand,,,1.12,1.62,0,0,0,0
aten::as_strided,,,0.5,0.5,0,0,0,0
aten::clone,,,1.49,6.54,0,0,0,0
aten::empty_like,,,1.12,2.85,0,0,0,0
aten::empty,,,1.73,1.73,0,0,0,0
aten::copy_,,,2.2,2.2,0,0,0,0
aten::flatten,,,1.49,2.86,0,0,0,0
aten::view,,,1.37,1.37,0,0,0,0
aten::resolve_conj,,,0.54,0.54,0,0,0,0
aten::resolve_neg,,,0.45,0.45,0,0,0,0
Event::record,,,51.9,69.01,0,0.0,0,0
record_event,,,17.11,17.11,0.0,0.0,0,0
aten::tensor_split,,,4.18,13.83,0,0,0,0
aten::slice,,,2.25,5.51,0,0,0,0
aten::as_strided,,,3.26,3.26,0,0,0,0
aten::slice,,,0.79,1.53,0,0,0,0
aten::as_strided,,,0.74,0.74,0,0,0,0
aten::slice,,,0.67,1.3,0,0,0,0
aten::as_strided,,,0.63,0.63,0,0,0,0
aten::slice,,,0.59,1.31,0,0,0,0
aten::as_strided,,,0.72,0.72,0,0,0,0
aten::tensor_split,,,1.8,8.98,0,0,0,0
aten::slice,,,0.8,2.57,0,0,0,0
aten::as_strided,,,1.77,1.77,0,0,0,0
aten::slice,,,0.91,2.27,0,0,0,0
aten::as_strided,,,1.36,1.36,0,0,0,0
aten::slice,,,0.56,1.21,0,0,0,0
aten::as_strided,,,0.65,0.65,0,0,0,0
aten::slice,,,0.54,1.13,0,0,0,0
aten::as_strided,,,0.59,0.59,0,0,0,0
_C_ascend::moe_gating_top_k,,,29.54,81.84,0,62.326,0,0
aten::empty,,,2.11,10.15,0,0,0,0
empty_tensor,,,8.04,8.04,0,0,0,0
aten::empty,,,0.74,3.59,0,0,0,0
empty_tensor,,,2.85,2.85,0,0,0,0
aten::empty,,,0.73,5.45,0,0,0,0
empty_tensor,,,4.72,4.72,0,0,0,0
aten::empty,,,1.14,5.41,0,0,0,0
empty_tensor,,,4.27,4.27,0,0,0,0
aclnnMoeGatingTopK,,,27.7,27.7,62.326,62.326,0,0
aten::to,,,1.2,1.2,0,0,0,0
aten::to,,,0.53,0.53,0,0,0,0
Event::record,,,42.47,55.48,0,0.0,0,0
record_event,,,13.01,13.01,0.0,0.0,0,0
aten::view,,,3.24,3.24,0,0,0,0
aten::histc,,,72.85,132.05,0,36.142,0,0
empty_tensor,,,5.38,5.38,0,0,0,0
aclnnHistc,,,53.82,53.82,36.142,36.142,0,0
aten::reshape,,,1.34,3.28,0,0,0,0
aten::view,,,1.94,1.94,0,0,0,0
aten::sum,,,10.38,40.51,0,6.382,0,0
empty_tensor,,,4.18,4.18,0,0,0,0
aclnnReduceSum,,,25.95,25.95,6.382,6.382,0,0
aten::to,,,2.71,34.15,0,2.86,0,0
aten::_to_copy,,,3.59,31.44,0,2.86,0,0
aten::empty,,,7.92,7.92,0,0,0,0
aten::copy_,,,7.55,19.93,0,2.86,0,0
acl_memcpy_device_to_host,,,12.38,12.38,2.86,2.86,0,0
aten::detach,,,1.55,1.55,0,0,0,0
aten::to,,,0.39,0.39,0,0,0,0
aten::resolve_conj,,,0.43,0.43,0,0,0,0
